Item,Type,Weight (Grams),Qty.,Unit,Source,URL (Europe),Price (unit),Price (total),Part/Assembly Number,Notes
25.4ID 3mm Stainless Steel Round Tube,Stainless Steel,1115,685,mm,,,,15.00,,
Electronics Box,Lasercut ,2346,1,pcs,,,30.00 €,30.00,,
Electronics Box Cover,Lasercut ,100,4,pcs,,,4.00 €,16.00,,
Base Connectors,Lasercut,568,8,pcs,,,1.00 €,8.00,,
Endcaps/Feet,Lasercut,142,2,pcs,,,1.00 €,2.00,,
30 x 30 Endcap,Lasercut,88,4,pcs,,,1.00 €,4.00,,
60 x 30 Endcap,Lasercut,98,2,pcs,,,1.00 €,2.00,,
Plunger Endcap,Lasercut,44,2,pcs,,,1.00 €,2.00,,
Pullrod Part (4mm),Lasercut,865.8,2,pcs,,,2.96 €,5.92,,
Leaver to Plunger (4mm),Lasercut,120,2,pcs,,,1.00 €,2.00,,
Z to X Plates (5mm),Lasercut,2478,2,pcs,,,7.00 €,14.00,,
X to Y Plates (5mm),Lasercut,1555.4,2,pcs,,,7.00 €,14.00,,
Top Plate Left,Lasercut,1537,1,pcs,,,10.00 €,10.00,,
Top Plate,Lasercut,1537,1,pcs,,,10.00 €,10.00,,
Hopper,Lasercut,813,1,pcs,,,7.00 €,7.00,,
Hopper Base,Lasercut,,1,pcs,,,1.00 €,1.00,,
Barrel Holder,Lasercut,142,1,pcs,,,3.00 €,3.00,,
Barrel Housing Top Spacer,Lasercut,52,1,pcs,,,2.00 €,2.00,,
Barrel Housing Bottom Spacer,Lasercut,52,1,pcs,,,2.00 €,2.00,,
Barrel Housing Front & Back,Lasercut,629,1,pcs,,,6.00 €,6.00,,
Drip Plate,Lasercut,,1,pcs,,,3.00 €,3.00,,
,,,,,,,,,,
Total Weight,,27171.5,,,,,Total : ,465.37,,
